Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5
P Boissevain,4,4,16,0,116,3,38.66,7.25,32,0,0
P Brown,4,4,13,0,128,3,42.66,9.84,26,0,0
P Buccimazza,4,4,13,0,86,3,28.66,6.61,26,0,0
N Buckle,3,3,10,0,76,3,25.33,7.6,20,0,0
H Carlyon,9,3,6,0,42,3,14,7,12,0,0
M Chapman,24,4,10,0,77,3,25.66,7.7,20,0,0
M Chauhan,2,2,8,1,38,3,12.66,4.75,16,0,0
M Cope,2,2,5,0,61,3,20.33,12.2,10,0,0
B Cutting,7,7,21,0,215,3,71.66,10.23,42,0,0
T David,12,9,22.2,0,202,3,67.33,9.04,44.6,0,0
N Dhaliwal,12,5,8,0,43,3,14.33,5.37,16,0,0
S Dima,4,2,5,0,57,3,19,11.4,10,0,0
S Dube,6,6,12.3,0,114,3,38,9.12,25,0,0
L Evile,4,4,12,1,67,3,22.33,5.58,24,0,0
P Florin,4,2,1.4,0,10,3,3.33,6,3.3,0,0
B Fortuin,2,2,7,0,51,3,17,7.28,14,0,0
C Gannon,4,3,9,0,67,3,22.33,7.44,18,0,0
H Niazi,4,4,10,0,81,3,27,8.1,20,0,0
J Hill,4,2,6,0,50,3,16.66,8.33,12,0,0
J Hirschi,4,4,11,0,96,3,32,8.72,22,0,0
Z Hoque,3,3,12,0,51,3,17,4.25,24,0,0
J Huo,7,3,10,0,56,3,18.66,5.6,20,0,0
I Hussain,3,3,9.5,0,89,3,29.66,9.05,19.6,0,0
D Jakiel,2,2,7,0,44,3,14.66,6.28,14,0,0
G Jayasuriya,16,10,21.5,0,202,3,67.33,9.25,43.6,0,0
K Kaleemullah,6,6,19,1,132,3,44,6.94,38,0,0
K Shah,7,6,17,0,130,3,43.33,7.64,34,0,0
P Kerai,6,5,11,0,82,3,27.33,7.45,22,0,0
J Kila,12,9,17,0,99,3,33,5.82,34,0,0
A Kose,4,2,8,0,116,3,38.66,14.5,16,0,0
C Kumara,3,3,12,0,97,3,32.33,8.08,24,0,0
U Kumaranayaka,3,3,12,0,102,3,34,8.5,24,0,0
N Liyanage,6,5,14,0,100,3,33.33,7.14,28,0,0
S Mahmood,3,3,10,0,115,3,38.33,11.5,20,0,0
M Mandy,4,3,8,0,43,3,14.33,5.37,16,0,0
T Mills,5,5,19,1,129,3,43,6.78,38,0,0
K Modise,3,2,5,0,41,3,13.66,8.2,10,0,0
M Ghazanfar,5,5,14,0,85,3,28.33,6.07,28,0,0
M Hasnain,4,4,16,0,137,3,45.66,8.56,32,0,0
M Siraj,3,3,12,0,148,3,49.33,12.33,24,0,0
M Shaheen,1,1,2.2,0,11,3,3.66,4.71,4.6,0,0
A Nathwani,5,4,10,0,79,3,26.33,7.9,20,0,0
