,Date,Team1Players,Team2Players,DreamTeamPlayers
31,2022-04-30,"V Kohli,F Plessis,R Patidar,G Maxwell,K Karthik,S Ahmed,M Lomror,P Silva,H Patel,J Hazlewood,M Siraj","W Saha,S Gill,B Sudharsan,H Pandya,D Miller,R Tewatia,R Khan,P Sangwan,A Joseph,L Ferguson,M Shami",
32,2022-04-29,"Q Kock,K Rahul,D Hooda,K Pandya,M Stoinis,A Badoni,J Holder,P Chameera,M Khan,A Khan,R Bishnoi","M Agarwal,S Dhawan,J Bairstow,P Rajapaksa,L Livingstone,J Sharma,R Dhawan,K Rabada,R Chahar,A Singh,S Sharma",
33,2022-04-28,"A Finch,V Iyer,S Iyer,B Indrajith,S Narine,N Rana,A Russell,R Singh,U Yadav,T Southee,H Rana","P Shaw,D Warner,M Marsh,L Yadav,R Pant,R Powell,A Patel,S Thakur,K Yadav,M Rahman,C Sakariya",
34,2022-04-27,"A Sharma,K Williamson,R Tripathi,A Markram,N Pooran,W Sundar,S Singh,M Jansen,B Kumar,T Natarajan,U Malik","W Saha,S Gill,H Pandya,D Miller,R Tewatia,A Manohar,R Khan,L Ferguson,A Joseph,Y Dayal,M Shami",
35,2022-04-26,"J Buttler,D Padikkal,R Ashwin,S Samson,D Mitchell,R Parag,S Hetmyer,T Boult,M Krishna,Y Chahal,K Sen","V Kohli,F Plessis,R Patidar,G Maxwell,S Ahmed,S Prabhudessai,K Karthik,P Silva,H Patel,M Siraj,J Hazlewood",
36,2022-04-25,"M Agarwal,S Dhawan,P Rajapaksa,L Livingstone,J Bairstow,J Sharma,R Dhawan,K Rabada,R Chahar,A Singh,S Sharma","R Gaikwad,R Uthappa,M Santner,S Dube,A Rayudu,R Jadeja,M Dhoni,D Pretorius,D Bravo,M Choudhary,M Theekshana",
37,2022-04-24,"Q Kock,K Rahul,M Pandey,M Stoinis,K Pandya,D Hooda,A Badoni,J Holder,P Chameera,R Bishnoi,M Khan","I Kishan,R Sharma,D Brevis,S Yadav,T Varma,K Pollard,D Sams,J Unadkat,H Shokeen,J Bumrah,R Meredith",
38,2022-04-23,"F Plessis,A Rawat,V Kohli,G Maxwell,S Prabhudessai,S Ahmed,K Karthik,H Patel,P Silva,J Hazlewood,M Siraj","A Sharma,K Williamson,R Tripathi,A Markram,N Pooran,S Singh,J Suchith,B Kumar,M Jansen,T Natarajan,U Malik",
39,2022-04-23,"W Saha,S Gill,H Pandya,D Miller,R Tewatia,R Khan,A Manohar,L Ferguson,A Joseph,Y Dayal,M Shami","S Billings,S Narine,S Iyer,N Rana,R Singh,V Iyer,A Russell,S Mavi,U Yadav,T Southee,C Varun",
40,2022-04-22,"J Buttler,D Padikkal,S Samson,S Hetmyer,R Parag,K Nair,R Ashwin,T Boult,O McCoy,M Krishna,Y Chahal","P Shaw,D Warner,S Khan,R Pant,L Yadav,A Patel,S Thakur,R Powell,K Yadav,M Rahman,K Ahmed",
41,2022-04-21,"R Sharma,I Kishan,D Brevis,S Yadav,T Varma,H Shokeen,K Pollard,D Sams,J Unadkat,R Meredith,J Bumrah","R Gaikwad,R Uthappa,M Santner,A Rayudu,S Dube,R Jadeja,M Dhoni,D Pretorius,D Bravo,M Choudhary,M Theekshana",
42,2022-04-20,"M Agarwal,S Dhawan,J Bairstow,L Livingstone,J Sharma,M Khan,K Rabada,N Ellis,R Chahar,A Singh,V Arora","P Shaw,D Warner,S Khan,R Pant,R Powell,L Yadav,S Thakur,A Patel,K Yadav,M Rahman,K Ahmed",
