Date,Team1Players,Team2Players
17-04-2022,"S Dhawan,P Singh,J Bairstow,L Livingstone,J Sharma,M Khan,O Smith,K Rabada,R Chahar,V Arora,A Singh","A Sharma,K Williamson,R Tripathi,A Markram,N Pooran,S Singh,J Suchith,B Kumar,M Jansen,T Natarajan,U Malik"
16-04-2022,"F Plessis,A Rawat,V Kohli,G Maxwell,S Prabhudessai,S Ahmed,K Karthik,P Silva,M Siraj,H Patel,J Hazlewood","P Shaw,D Warner,M Marsh,R Pant,R Powell,L Yadav,S Thakur,A Patel,K Yadav,M Rahman,K Ahmed"
16-04-2022,"K Rahul,Q Kock,M Pandey,M Stoinis,D Hooda,K Pandya,A Badoni,J Holder,P Chameera,A Khan,R Bishnoi","I Kishan,R Sharma,D Brevis,S Yadav,T Varma,K Pollard,F Allen,J Unadkat,M Ashwin,J Bumrah,T Mills"
15-04-2022,"V Iyer,A Finch,S Iyer,S Narine,N Rana,S Jackson,A Russell,P Cummins,A Khan,U Yadav,C Varun","A Sharma,K Williamson,R Tripathi,A Markram,N Pooran,S Singh,J Suchith,M Jansen,B Kumar,T Natarajan,U Malik"
14-04-2022,"M Wade,S Gill,V Shankar,H Pandya,A Manohar,D Miller,R Tewatia,R Khan,M Shami,L Ferguson,Y Dayal","J Buttler,D Padikkal,R Ashwin,S Samson,H Dussen,S Hetmyer,R Parag,J Neesham,M Krishna,Y Chahal,K Sen"
13-04-2022,"M Agarwal,S Dhawan,J Bairstow,L Livingstone,J Sharma,M Khan,O Smith,K Rabada,R Chahar,V Arora,A Singh","R Sharma,I Kishan,D Brevis,T Varma,S Yadav,K Pollard,J Unadkat,M Ashwin,J Bumrah,T Mills,B Thampi"
12-04-2022,"R Gaikwad,R Uthappa,M Ali,S Dube,R Jadeja,M Dhoni,A Rayudu,D Bravo,C Jordan,M Theekshana,M Choudhary","F Plessis,A Rawat,V Kohli,G Maxwell,S Ahmed,S Prabhudessai,K Karthik,P Silva,A Deep,M Siraj,J Hazlewood"
11-04-2022,"M Wade,S Gill,B Sudharsan,H Pandya,D Miller,A Manohar,R Tewatia,R Khan,D Nalkande,M Shami,L Ferguson","A Sharma,K Williamson,R Tripathi,N Pooran,A Markram,S Singh,W Sundar,M Jansen,B Kumar,T Natarajan,U Malik"
10-04-2022,"J Buttler,D Padikkal,S Samson,H Dussen,S Hetmyer,R Ashwin,R Parag,T Boult,Y Chahal,K Sen,M Krishna","K Rahul,Q Kock,K Gowtham,J Holder,D Hooda,A Badoni,K Pandya,M Stoinis,P Chameera,A Khan,R Bishnoi"
10-04-2022,"P Shaw,D Warner,R Pant,L Yadav,R Powell,A Patel,S Thakur,S Khan,K Yadav,M Rahman,K Ahmed","A Rahane,V Iyer,S Iyer,N Rana,A Russell,S Billings,P Cummins,S Narine,U Yadav,R Salam,C Varun"
09-04-2022,"I Kishan,R Sharma,D Brevis,S Yadav,T Varma,K Pollard,R Singh,J Unadkat,M Ashwin,J Bumrah,B Thampi","F Plessis,A Rawat,V Kohli,K Karthik,G Maxwell,D Willey,S Ahmed,P Silva,H Patel,M Siraj,A Deep"
09-04-2022,"R Uthappa,R Gaikwad,M Ali,A Rayudu,S Dube,R Jadeja,M Dhoni,D Bravo,C Jordan,M Theekshana,M Choudhary","A Sharma,K Williamson,R Tripathi,N Pooran,A Markram,S Singh,W Sundar,B Kumar,M Jansen,U Malik,T Natarajan"
08-04-2022,"M Agarwal,S Dhawan,J Bairstow,L Livingstone,J Sharma,O Smith,M Khan,K Rabada,R Chahar,V Arora,A Singh","M Wade,S Gill,B Sudharsan,H Pandya,D Miller,R Tewatia,A Manohar,R Khan,D Nalkande,M Shami,L Ferguson"
07-04-2022,"P Shaw,D Warner,R Powell,R Pant,S Khan,L Yadav,A Patel,S Thakur,K Yadav,M Rahman,A Nortje","K Rahul,Q Kock,E Lewis,D Hooda,K Pandya,A Badoni,K Gowtham,J Holder,A Khan,A Tye,R Bishnoi"
06-04-2022,"R Sharma,I Kishan,D Brevis,S Yadav,T Varma,K Pollard,D Sams,M Ashwin,T Mills,J Bumrah,B Thampi","A Rahane,V Iyer,S Iyer,S Billings,N Rana,A Russell,P Cummins,S Narine,R Salam,U Yadav,C Varun"
05-04-2022,"J Buttler,Y Jaiswal,D Padikkal,S Samson,S Hetmyer,R Parag,R Ashwin,N Saini,T Boult,Y Chahal,M Krishna","F Plessis,A Rawat,V Kohli,D Willey,S Rutherford,S Ahmed,K Karthik,H Patel,P Silva,M Siraj,A Deep"
04-04-2022,"K Rahul,Q Kock,E Lewis,M Pandey,D Hooda,A Badoni,K Pandya,J Holder,A Tye,R Bishnoi,A Khan","A Sharma,K Williamson,R Tripathi,A Markram,N Pooran,W Sundar,A Samad,R Shepherd,B Kumar,U Malik,T Natarajan"
03-04-2022,"M Agarwal,S Dhawan,P Rajapaksa,L Livingstone,J Sharma,M Khan,O Smith,K Rabada,R Chahar,V Arora,A Singh","R Uthappa,R Gaikwad,M Ali,A Rayudu,R Jadeja,S Dube,M Dhoni,D Bravo,D Pretorius,C Jordan,M Choudhary"
02-04-2022,"M Wade,S Gill,V Shankar,H Pandya,D Miller,R Tewatia,A Manohar,R Khan,V Aaron,L Ferguson,M Shami","P Shaw,T Seifert,M Singh,R Pant,L Yadav,R Powell,A Patel,S Thakur,K Yadav,K Ahmed,M Rahman"
02-04-2022,"J Buttler,Y Jaiswal,D Padikkal,S Samson,S Hetmyer,R Parag,R Ashwin,N Saini,T Boult,Y Chahal,M Krishna","I Kishan,R Sharma,A Singh,T Varma,K Pollard,T David,D Sams,M Ashwin,J Bumrah,T Mills,B Thampi"
01-04-2022,"M Agarwal,S Dhawan,P Rajapaksa,L Livingstone,R Bawa,M Khan,H Brar,O Smith,R Chahar,K Rabada,A Singh","A Rahane,V Iyer,S Iyer,S Billings,N Rana,A Russell,S Narine,T Southee,U Yadav,C Varun,S Mavi"
31-03-2022,"R Uthappa,R Gaikwad,M Ali,S Dube,A Rayudu,R Jadeja,M Dhoni,D Pretorius,D Bravo,T Deshpande,M Choudhary","K Rahul,Q Kock,M Pandey,E Lewis,D Hooda,A Badoni,K Pandya,P Chameera,A Tye,R Bishnoi,A Khan"
30-03-2022,"A Rahane,V Iyer,S Iyer,N Rana,S Narine,S Billings,S Jackson,A Russell,T Southee,U Yadav,C Varun","F Plessis,A Rawat,V Kohli,D Willey,S Rutherford,S Ahmed,K Karthik,P Silva,H Patel,M Siraj,A Deep"
29-03-2022,"J Buttler,Y Jaiswal,S Samson,D Padikkal,S Hetmyer,R Parag,N Coulter-Nile,R Ashwin,Y Chahal,T Boult,M Krishna","K Williamson,A Sharma,R Tripathi,N Pooran,A Markram,A Samad,R Shepherd,W Sundar,B Kumar,U Malik,T Natarajan"
28-03-2022,"K Rahul,Q Kock,E Lewis,M Pandey,D Hooda,A Badoni,K Pandya,P Chameera,M Khan,R Bishnoi,A Khan","S Gill,M Wade,V Shankar,H Pandya,D Miller,R Tewatia,A Manohar,R Khan,L Ferguson,M Shami,V Aaron"
27-03-2022,"F Plessis,A Rawat,V Kohli,K Karthik,S Rutherford,D Willey,S Ahmed,P Silva,H Patel,M Siraj,A Deep","M Agarwal,S Dhawan,P Rajapaksa,L Livingstone,R Bawa,M Khan,O Smith,H Brar,A Singh,S Sharma,R Chahar"
27-03-2022,"R Sharma,I Kishan,A Singh,T Varma,K Pollard,T David,D Sams,M Ashwin,T Mills,J Bumrah,B Thampi","P Shaw,T Seifert,M Singh,R Pant,L Yadav,R Powell,S Thakur,A Patel,K Yadav,K Ahmed,K Nagarkoti"
26-03-2022,"R Gaikwad,D Conway,R Uthappa,A Rayudu,R Jadeja,S Dube,M Dhoni,D Bravo,M Santner,A Milne,T Deshpande","A Rahane,V Iyer,N Rana,S Iyer,S Billings,S Jackson,A Russell,S Narine,U Yadav,S Mavi,C Varun"
15-10-2021,"R Gaikwad,F Plessis,R Uthappa,M Ali,A Rayudu,M Dhoni,R Jadeja,D Bravo,S Thakur,D Chahar,J Hazlewood","S Gill,V Iyer,N Rana,S Narine,E Morgan,K Karthik,S Hasan,R Tripathi,L Ferguson,S Mavi,C Varun"
13-10-2021,"P Shaw,S Dhawan,M Stoinis,S Iyer,R Pant,S Hetmyer,A Patel,R Ashwin,K Rabada,A Khan,A Nortje","S Gill,V Iyer,N Rana,R Tripathi,K Karthik,E Morgan,S Hasan,S Narine,L Ferguson,S Mavi,C Varun"
11-10-2021,"D Padikkal,V Kohli,K Bharat,G Maxwell,A Villiers,S Ahmed,D Christian,H Patel,G Garton,M Siraj,Y Chahal","S Gill,V Iyer,R Tripathi,N Rana,S Narine,K Karthik,E Morgan,S Hasan,L Ferguson,S Mavi,C Varun"
10-10-2021,"P Shaw,S Dhawan,S Iyer,A Patel,R Pant,S Hetmyer,T Curran,R Ashwin,K Rabada,A Khan,A Nortje","R Gaikwad,F Plessis,R Uthappa,S Thakur,A Rayudu,M Ali,M Dhoni,R Jadeja,D Bravo,D Chahar,J Hazlewood"
08-10-2021,"P Shaw,S Dhawan,R Pant,S Iyer,S Hetmyer,R Patel,A Patel,R Ashwin,K Rabada,A Khan,A Nortje","V Kohli,D Padikkal,K Bharat,A Villiers,G Maxwell,D Christian,S Ahmed,G Garton,H Patel,M Siraj,Y Chahal"
08-10-2021,"R Sharma,I Kishan,H Pandya,K Pollard,S Yadav,J Neesham,K Pandya,N Coulter-Nile,P Chawla,J Bumrah,T Boult","J Roy,A Sharma,M Pandey,M Nabi,A Samad,P Garg,J Holder,R Khan,W Saha,S Kaul,U Malik"
07-10-2021,"S Gill,V Iyer,N Rana,R Tripathi,K Karthik,E Morgan,S Hasan,S Narine,L Ferguson,C Varun,S Mavi","Y Jaiswal,L Livingstone,S Samson,S Dube,A Rawat,G Phillips,R Tewatia,C Morris,J Unadkat,C Sakariya,M Rahman"
07-10-2021,"R Gaikwad,F Plessis,M Ali,R Uthappa,A Rayudu,M Dhoni,R Jadeja,D Bravo,D Chahar,S Thakur,J Hazlewood","K Rahul,M Agarwal,S Khan,M Khan,A Markram,M Henriques,C Jordan,H Brar,R Bishnoi,M Shami,A Singh"
06-10-2021,"J Roy,A Sharma,K Williamson,P Garg,A Samad,W Saha,J Holder,R Khan,B Kumar,S Kaul,U Malik","V Kohli,D Padikkal,D Christian,K Bharat,G Maxwell,A Villiers,S Ahmed,G Garton,H Patel,M Siraj,Y Chahal"
05-10-2021,"E Lewis,Y Jaiswal,S Samson,S Dube,G Phillips,D Miller,R Tewatia,S Gopal,C Sakariya,K Yadav,M Rahman","R Sharma,I Kishan,S Yadav,H Pandya,S Tiwary,K Pollard,J Neesham,N Coulter-Nile,J Yadav,J Bumrah,T Boult"
04-10-2021,"R Gaikwad,F Plessis,R Uthappa,M Ali,A Rayudu,M Dhoni,R Jadeja,D Bravo,D Chahar,S Thakur,J Hazlewood","P Shaw,S Dhawan,S Iyer,R Pant,R Patel,R Ashwin,S Hetmyer,A Patel,K Rabada,A Khan,A Nortje"
03-10-2021,"V Kohli,D Padikkal,D Christian,G Maxwell,A Villiers,S Ahmed,K Bharat,G Garton,H Patel,M Siraj,Y Chahal","K Rahul,M Agarwal,N Pooran,A Markram,S Khan,M Khan,M Henriques,H Brar,R Bishnoi,M Shami,A Singh"
03-10-2021,"J Roy,W Saha,K Williamson,P Garg,A Sharma,A Samad,J Holder,R Khan,B Kumar,S Kaul,U Malik","S Gill,V Iyer,R Tripathi,N Rana,K Karthik,E Morgan,S Hasan,S Narine,T Southee,C Varun,S Mavi"
02-10-2021,"R Sharma,Q Kock,S Yadav,S Tiwary,K Pollard,H Pandya,K Pandya,N Coulter-Nile,J Yadav,J Bumrah,T Boult","P Shaw,S Dhawan,S Smith,R Pant,S Iyer,A Patel,S Hetmyer,R Ashwin,K Rabada,A Khan,A Nortje"
02-10-2021,"R Gaikwad,F Plessis,S Raina,M Ali,A Rayudu,R Jadeja,M Dhoni,S Curran,S Thakur,J Hazlewood,K Asif","E Lewis,Y Jaiswal,S Samson,S Dube,G Phillips,D Miller,R Tewatia,A Singh,M Markande,C Sakariya,M Rahman"
01-10-2021,"V Iyer,S Gill,R Tripathi,N Rana,E Morgan,K Karthik,T Seifert,S Narine,T Southee,C Varun,S Mavi","K Rahul,M Agarwal,N Pooran,A Markram,D Hooda,M Khan,F Allen,N Ellis,R Bishnoi,M Shami,A Singh"
30-09-2021,"J Roy,W Saha,K Williamson,P Garg,A Sharma,A Samad,J Holder,R Khan,B Kumar,S Sharma,S Kaul","R Gaikwad,F Plessis,M Ali,S Raina,A Rayudu,M Dhoni,R Jadeja,D Bravo,S Thakur,D Chahar,J Hazlewood"
29-09-2021,"E Lewis,Y Jaiswal,S Samson,M Lomror,L Livingstone,R Tewatia,R Parag,C Morris,C Sakariya,K Tyagi,M Rahman","V Kohli,D Padikkal,K Bharat,G Maxwell,A Villiers,D Christian,S Ahmed,G Garton,H Patel,M Siraj,Y Chahal"
